Lessons-learned row number,Category,Issue / improvement area,Expected DIT behavior,Covered?,Coverage status,Implementation file,Function or class,Connected to DIT UI?,Applied to corrected_df?,Included in DIT readiness?,Included in downloaded CSV?,Test coverage,Gap,Recommended fix,Priority
2,GNG Preparation / GNG PPXT & Materials,Exported ADO defect list constantly changing; PPXT update overhead,Not applicable to DIT upload workflow,N,Not Relevant to DIT,,,,,,,,N/A — programme governance not data preparation,P3
3,GNG Preparation / Risk Tagging,Hard to find relevant risks in full ADO list,Not applicable to DIT upload workflow,N,Not Relevant to DIT,,,,,,,,N/A — ADO tagging not Copilot scope,P3
4,GNG Preparation / Defects,Deferred defects should be visible for TCO promotion,Not applicable to DIT upload workflow,N,Not Relevant to DIT,,,,,,,,N/A — defect dashboard not DIT,P3
5,General Planning / Dependencies,Excel dependency tracking not automatic,Not applicable to DIT upload workflow,N,Not Relevant to DIT,,,,,,,,N/A — project planning tooling,P3
6,General Planning / INT Activity Tracking,Need merged Excel for integration flows,Not applicable to DIT upload workflow,N,Not Relevant to DIT,,,,,,,,N/A — integration tracking,P3
7,General Planning / Adobe steps,Adobe steps should live in SFA manual doc not INT,Not applicable to DIT upload workflow,N,Not Relevant to DIT,,,,,,,,N/A — cutover documentation,P3
8,General Planning / 3rd Party Stakeholders,Unclear Salesforce/EDF escalation contacts,Not applicable to DIT upload workflow,N,Not Relevant to DIT,,,,,,,,N/A — operational support contacts,P3
9,General Planning / Travel,Cutover plan should account for travel impact,Not applicable to DIT upload workflow,N,Not Relevant to DIT,,,,,,,,N/A — programme planning,P3
10,General Planning / Data Load / INT Testing,Data load can run parallel to INT pinging,Not applicable to DIT upload workflow,N,Not Relevant to DIT,,,,,,,,N/A — cutover sequencing not Copilot,P3
11,General Planning / User setup communication,Suppress/trigger user setup emails during bulk load,Not applicable to DIT data-import templates,N,Not Relevant to DIT,,,,,,,,N/A — Salesforce org configuration not CSV prep,P3
12,General Planning / Silver -> Gold Planning,Add EDF Silver→Gold step to cutover plans,Not applicable to DIT upload workflow,N,Not Relevant to DIT,,,,,,,,N/A — EDF pipeline planning,P3
13,General Planning / Availability & Coverage,Plan sickness coverage and dual cutover leads,Not applicable to DIT upload workflow,N,Not Relevant to DIT,,,,,,,,N/A — resourcing plan,P3
